# source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,l,b,g_mag_abs,bp_rp,pmra,pmra_error,pmdec,pmdec_error, phot_bp_mean_mag, phot_rp_mean_mag, phot_g_mean_mag, astrometric_n_good_obs_al,  astrometric_chi2_al, phot_bp_mean_flux_over_error, phot_rp_mean_flux_over_error, phot_bp_rp_excess_factor, vis_period, unit_weight
2257597439718033408,274.743106802672230,0.046293749041323,66.190678191908347,0.047746197894877,130.772204413811124,0.044331270873116,96.046636226540130,27.898189063722921,12.502884382709659,3.133919715881348,434.870090219475344,0.101682985192932,-442.592473448588748,0.103422040206061,13.771046638488770,10.637126922607422,11.920307159423828,176.000000000000000,1249.734252929687500,940.146118164062500,2476.054199218750000,1.522299408912659,16.000000000000000,7.308387444033261
4286249341336984576,282.074706003798156,0.068096357229654,7.690289356085175,0.068791606443560,131.198978849291706,0.078756417304042,39.432329182295710,4.192002807602743,12.903042052350521,3.521074295043945,376.332671632939082,0.140040543262982,249.304348822316172,0.130348582076578,14.475666999816895,10.954592704772949,12.313389778137207,128.000000000000000,853.127380371093750,237.265274047851562,602.182373046875000,1.589225888252258,10.000000000000000,6.935994962366616
3738099879558958080,202.504042449704372,0.049780833460692,10.372538708819670,0.033130149985073,131.242807527517954,0.054277079929037,333.237695384751191,70.938598398006761,8.796584836287224,2.088835239410400,1127.507375060579079,0.102464220913112,-1073.878678624571194,0.066385234153908,9.284589767456055,7.195754528045654,8.206207275390625,177.000000000000000,346.185119628906250,700.676818847656250,447.130828857421875,1.351999044418335,10.000000000000000,2.012704183888990
6604147121141267456,344.101887509130279,0.081450861788582,-31.566246853836716,0.049389646821627,131.437969724957753,0.085640601696646,15.935273893653644,-64.618673536817241,6.662689331595598,1.325972557067871,329.576677661916676,0.115847518839363,-158.292553049830587,0.100095983911203,6.698067188262939,5.372094631195068,6.069085121154785,72.000000000000000,135.990402221679688,382.145812988281250,117.455978393554688,1.220288515090942,7.000000000000000,2.029707495845965
96331172942614528,25.622630322546954,0.128910916496027,20.265612621770440,0.131699350161935,131.490342909796084,0.151546002086828,138.875316672343075,-41.020265297155170,5.564180116668272,1.010179519653320,-301.591799329442438,0.293630733235758,-674.504726568048454,0.282104317619722,5.463625907897949,4.453446388244629,4.969710826873779,147.000000000000000,3698.921630859375000,280.101776123046875,115.738174438476562,1.150577425956726,10.000000000000000,26.048743879291372
6702242043883732992,274.525288617019783,0.285851915586368,-51.410275459934347,0.607579316288961,132.769240865342681,0.662062474603808,342.879238434425531,-16.018562868583228,14.403721117505121,1.136451721191406,-148.768762715547552,0.604004795296215,214.535530755001162,0.843487208919977,14.251358985900879,13.114907264709473,13.788233757019043,58.000000000000000,1186.619628906250000,130.686080932617188,215.648727416992188,1.270633697509766,6.000000000000000,22.389049602004718
1752805741531173632,307.454248246093528,1.045544464090780,9.689489213122629,0.936835769655030,133.811337811976585,1.386874133381257,53.530052510920292,-16.761049797867404,12.098992502286166,3.180553436279297,669.342114416936965,2.058691763603925,101.330055432855545,1.518739017040142,13.368597984313965,10.188044548034668,11.466527938842773,245.000000000000000,812991.750000000000000,234.547805786132812,512.179870605468750,1.510146260261536,11.000000000000000,3387.465624999999818
6894054664842632192,322.832817195372627,1.005119932094504,-9.790952486112461,0.467153504044599,134.083125520942474,1.112540050541004,43.238217628808108,-39.864191326424240,11.120042087756559,3.075409889221191,1246.510454205774295,0.946642651970193,-61.065837435134725,0.800495350315497,12.299847602844238,9.224437713623047,10.483171463012695,64.000000000000000,13020.286132812500000,335.310180664062500,442.707763671875000,1.495622754096985,6.000000000000000,220.682815810381356
2552925644460225024,12.099001667454461,0.089719655417358,5.275698037474882,0.052596145270392,134.499019929979880,0.088992139191692,121.519046710468260,-57.587706819131832,6.085140131399150,1.110081195831299,755.560669547026123,0.211614314824637,-1141.745195422085089,0.104254058358388,5.956320285797119,4.846239089965820,5.441544532775879,375.000000000000000,2577.660400390625000,1082.815795898437500,642.867919921875000,1.193480610847473,11.000000000000000,6.966649730785473
1355264565043430912,257.383408693737806,0.440527692503635,43.680144856083295,0.482761780367321,134.597082936453546,0.489399205367269,68.843336221358243,36.282760570177047,11.092875878045923,2.881219863891602,332.590743521504351,1.006240519789199,-271.833541473524747,1.109779730667731,12.102540016174316,9.221320152282715,10.447697639465332,209.000000000000000,158281.421875000000000,444.229492187500000,639.765441894531250,1.477862000465393,15.000000000000000,775.889322916666629
5975663354131617792,259.751060917769337,0.058833455221958,-34.997765110097319,0.059291478261872,138.017094842731836,0.091843811062812,351.841667465124488,1.410024025221079,10.079998308402292,2.303355216979980,1131.611807798665950,0.109671394362416,-215.544512020215819,0.081758566758901,10.614666938781738,8.311311721801758,9.380333900451660,137.000000000000000,357.517883300781250,402.699768066406250,670.977172851562500,1.375551223754883,9.000000000000000,2.708468812884707
2595284016771502080,335.780547815306875,0.215053023836234,-17.610407751657419,0.116067590231563,138.178170871568113,0.248386018010985,40.610490240015700,-54.559376109998595,12.256360176269808,3.310392379760742,308.434144254564671,0.226948312346723,-718.313962881919792,0.232262890416026,13.549663543701172,10.239271163940430,11.554162979125977,60.000000000000000,512.790466308593750,104.582954406738281,269.642395019531250,1.546823382377625,6.000000000000000,9.323463023792614
19316224572460416,39.028135477742019,0.101687885198197,6.893133580989843,0.109503995484087,138.208388050986940,0.143636114083826,163.405884886081310,-47.583763089740302,6.180581573712374,1.210236072540283,1777.432265247090072,0.200219513306037,1474.052744438630498,0.190948737218921,6.046220779418945,4.835984706878662,5.477909564971924,120.000000000000000,1283.242797851562500,305.188201904296875,270.324371337890625,1.203864216804504,9.000000000000000,11.158633024796195
18565464288396416,39.071425222965850,0.072224513834842,6.877888387180724,0.066718823066163,138.463676514100371,0.088633378179687,163.470838496993991,-47.571132479111597,11.024467418579007,2.864281654357910,1801.836515334064870,0.147157430351882,1449.914257994284299,0.132427647324491,11.972591400146484,9.108309745788574,10.317788124084473,120.000000000000000,934.209533691406250,455.384277343750000,476.660430908203125,1.457509875297546,10.000000000000000,8.123561162533967
